0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.2412903e-07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.68732303,3.983229e-20,1.0,0.0,1.0,4.9274065e-18,1.9316897e-20,8.1968596e-32,1.0
3.187937e-08,1.0,1.0,1.0,0.0,1.6400968e-29,1.0,0.0,1.0,1.0,0.0,7.398389e-07,6.213404e-13,1.0,0.0,1.0,7.786905e-17,2.0378985e-20,1.9467871e-36,1.0
4.7030233e-09,1.0,1.0,1.0,0.0,5.826385e-32,1.0,0.0,1.0,1.0,0.0,7.8525645e-06,1.9449525e-11,1.0,0.0,1.0,2.4798035e-13,8.87225e-18,1.2908142e-35,1.0
3.698121e-08,1.0,1.0,1.0,0.0,5.087377e-30,1.0,0.0,1.0,1.0,0.0,3.1818539e-07,4.4544766e-08,1.0,0.0,1.0,1.2073204e-09,3.7679566e-14,8.190806e-37,1.0
8.268027e-08,1.0,1.0,1.0,0.0,7.3120344e-29,1.0,0.0,1.0,1.0,0.0,8.16952e-08,1.0241106e-08,1.0,0.0,1.0,2.8136837e-11,1.8411417e-15,3.4571363e-37,1.0
8.6646864e-08,1.0,1.0,1.0,0.0,2.799762e-28,1.0,0.0,1.0,1.0,0.0,1.2320228e-07,1.9173994e-09,1.0,0.0,1.0,3.2666565e-12,7.1123006e-16,5.0644913e-37,1.0
4.9869886e-08,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.95775455,1.2730339e-20,1.0,0.0,1.0,6.105407e-20,4.5454796e-23,5.52489e-29,1.0
4.7665935e-07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.46542943,1.9969853e-23,1.0,0.0,1.0,9.020254e-26,2.0452588e-27,1.5819537e-29,1.0
2.3225697e-05,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4437161,7.5158115e-24,1.0,0.0,1.0,1.138297e-27,8.4217155e-30,4.6312506e-27,1.0
2.2339323e-07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.93422174,4.3253808e-23,1.0,0.0,1.0,4.303489e-24,4.4652985e-26,6.924536e-28,1.0
6.965278e-07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6136204,2.0234408e-23,1.0,0.0,1.0,1.1191981e-25,1.5397135e-27,1.1709584e-28,1.0
6.157709e-08,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.85657185,2.2550403e-22,1.0,0.0,1.0,6.7463656e-23,6.2851324e-25,1.02575924e-29,1.0
1.8311432e-07,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9953031,1.1407198e-17,1.0,0.0,1.0,2.6050473e-15,1.0352772e-20,6.3790143e-27,1.0
1.8952118e-10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9450821,3.266609e-18,1.0,0.0,1.0,1.2346543e-18,1.1287009e-22,2.7760778e-28,1.0
3.1731623e-10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9706493,1.6755232e-21,1.0,0.0,1.0,1.2911225e-23,8.1802355e-26,3.2330743e-26,1.0
2.1288532e-10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.96717167,1.1307076e-17,1.0,0.0,1.0,9.592092e-18,3.7489803e-22,7.0384126e-28,1.0
9.448964e-11,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9989193,3.0651666e-15,1.0,0.0,1.0,5.092372e-13,4.03083e-19,1.0008803e-25,1.0
1.583736e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.87575597,1.5945813e-20,1.0,0.0,1.0,3.3029764e-23,3.5526123e-26,1.0773897e-26,1.0
4.170136e-10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0973986e-21,1.0,0.0,1.0,1.7147821e-18,2.0272044e-22,2.1712179e-10,1.0
5.398328e-10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.93545645,4.0652344e-19,1.0,0.0,1.0,1.3534689e-20,3.5550967e-24,2.893225e-27,1.0
1.23387665e-08,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8088937,1.8046017e-22,1.0,0.0,1.0,3.333043e-27,2.7444667e-29,5.1642533e-25,1.0
1.1454535e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6481086,4.8422987e-21,1.0,0.0,1.0,2.4402688e-24,9.023244e-27,6.6426937e-28,1.0
5.665987e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.24768043,9.9749056e-21,1.0,0.0,1.0,4.722671e-25,6.603533e-28,4.1732884e-28,1.0
9.5513695e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.21141991,9.054541e-22,1.0,0.0,1.0,1.0513687e-26,5.976474e-29,5.4905408e-28,1.0
2.8839184e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4303005,2.1634547e-21,1.0,0.0,1.0,2.6806923e-25,1.1980099e-27,3.7777094e-28,1.0
1.9809223e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9999995,1.3122891e-25,1.0,0.0,1.0,2.9123707e-27,2.543879e-28,7.487205e-14,1.0
1.619723e-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.95428985,4.2674144e-22,1.0,0.0,1.0,4.0078187e-25,3.0982872e-27,1.5951736e-25,1.0
